Trait,Model,Accuracy,Precision,Recall,F1 Score
A,Multinomial Naive Bayes,0.5645569620253165,0.5515320334261838,0.9473684210526315,0.6971830985915493
A,Logistic Regression,0.569620253164557,0.5866666666666667,0.631578947368421,0.6082949308755761
A,Linear SVM,0.5468354430379747,0.5652173913043478,0.6220095693779905,0.592255125284738
C,Multinomial Naive Bayes,0.5873417721518988,0.5673758865248227,0.7960199004975125,0.6625258799171843
C,Linear SVM,0.6227848101265823,0.6238095238095238,0.6517412935323383,0.6374695863746959
C,Logistic Regression,0.6177215189873417,0.6201923076923077,0.6417910447761194,0.6308068459657702
E,Multinomial Naive Bayes,0.5822784810126582,0.5615141955835962,0.8725490196078431,0.6833013435700576
E,Logistic Regression,0.5924050632911393,0.6028708133971292,0.6176470588235294,0.6101694915254238
E,Linear SVM,0.579746835443038,0.595,0.5833333333333334,0.5891089108910891
N,Multinomial Naive Bayes,0.6126582278481013,0.6178010471204188,0.5959595959595959,0.6066838046272494
N,Logistic Regression,0.610126582278481,0.6208791208791209,0.5707070707070707,0.5947368421052631
N,Linear SVM,0.5544303797468354,0.5604395604395604,0.5151515151515151,0.5368421052631579
O,Multinomial Naive Bayes,0.6126582278481013,0.6041666666666666,0.7142857142857143,0.654627539503386
O,Logistic Regression,0.6,0.6076555023923444,0.625615763546798,0.616504854368932
O,Linear SVM,0.5873417721518988,0.5925925925925926,0.6305418719211823,0.6109785202863962
